"MUNICIPIO";"TOTAL";"PELOMENOS1";"VISUAL_NAOCONSEGUE";"VISUAL_GRANDEDIF";"VISUAL_ALGUMADIF";"AUDITIVA_NAOCONSEGUE";"AUDITIVA_GRANDEDIF";"AUDITIVA_ALGUMADIF";"MOTORA_NAOCONSEGUE";"MOTORA_GRANDEDIF";"MOTORA_ALGUMADIF";"MENTAL";"NENHUMA";"SD"
"Porto Velho - RO";428527;92369;805;11577;64561;367;2898;13475;779;4441;13449;4223;333678;2480
"Rio Branco - AC";336038;81260;748;11208;54669;574;2493;12474;1101;5429;14456;5084;254594;184
"Manaus - AM";1802014;461414;5300;63268;318035;3257;13326;70846;5657;27000;75288;19530;1340449;151
"Ananindeua - PA";471980;127621;1078;17097;86195;599;3677;21175;1950;8259;24181;4803;344344;16
"Belém - PA";1393399;381856;3785;50492;256256;1960;12187;64639;4268;27487;72193;15679;1010334;1209
"Marabá - PA";233669;55493;403;8350;37371;335;1546;8864;658;3350;9242;2842;178176;0
"Marituba - PA";108246;22129;298;3169;14607;243;621;3890;299;1619;4324;901;86111;6
"Santarém - PA";294580;70859;585;9226;47647;641;2424;11524;990;4469;13186;3219;223693;29
"Tucuruí - PA";97128;17844;103;2551;10999;111;645;3363;207;1290;3131;927;79276;8
"Macapá - AP";398204;95993;700;14518;65523;435;2591;12741;1190;5622;15379;3539;302176;36
"São José de Ribamar - MA";163045;39087;282;4518;27897;130;907;5496;413;1907;6212;2054;123949;9
"São Luís - MA";1014837;253621;2311;32719;176106;1359;7389;40224;3407;15670;39813;11687;761062;154
"Timon - MA";155460;39086;397;6231;24494;272;1505;6094;606;3017;7396;2879;116363;12
"Teresina - PI";814230;212244;2033;28192;140959;1149;7512;33344;2805;16769;38251;12314;601875;112
"Caucaia - CE";325441;83531;1004;11337;56692;531;2595;14020;1158;4911;15697;3670;241889;22
"Fortaleza - CE";2452185;646493;8168;82506;417723;4968;23760;116269;10789;46421;124217;31593;1805385;307
"Natal - RN";803739;208625;1656;27352;130915;1108;8322;35261;3434;17688;41670;13364;595114;0
"Campina Grande - PB";385213;87954;592;10955;52634;592;3917;16427;1571;7835;18115;5265;297245;13
"João Pessoa - PB";723515;185729;1958;22442;120609;1226;5903;30011;3036;14819;36221;11005;537747;39
"Cabo de Santo Agostinho - PE";185025;51763;372;6359;35853;267;1721;8922;702;4210;9607;2702;133232;30
"Caruaru - PE";314912;81761;536;10822;53250;479;3166;13795;1144;6865;15832;4826;233135;16
"Jaboatão dos Guararapes - PE";644620;196402;1458;28231;128673;974;6513;32278;2141;15658;40793;10792;448199;19
"Olinda - PE";377779;105341;1094;13932;69916;881;3661;16355;1426;8641;20993;6361;272246;192
"Paulista - PE";300466;86647;599;12348;57853;316;2970;13459;1042;7156;16740;4553;213681;138
"Recife - PE";1537704;431359;3050;58799;278047;2211;15435;68751;7899;40543;88533;23963;1106250;94
"Maceió - AL";932748;265181;2081;40325;166702;1359;9671;44782;3802;26114;55188;17047;667532;35
"Aracaju - SE";571149;136568;1159;16840;88710;714;4673;23262;2336;10470;24468;7160;434194;387
"Nossa Senhora do Socorro - SE";160827;40011;307;5443;26752;217;1124;6538;426;2760;7042;1912;120785;32
"Camaçari - BA";242970;60678;455;7594;41025;218;2055;10307;688;3715;10112;2700;182280;13
"Ilhéus - BA";184236;48903;389;6751;30376;220;1933;8289;726;4776;10587;3356;135324;9
"Salvador - BA";2675656;699101;7334;81980;469086;4406;19140;114478;9773;46366;134845;35377;1971147;5408
"Belo Horizonte - MG";2375151;550997;7044;61425;361859;4557;19046;88000;9701;43438;99649;32991;1823608;546
"Betim - MG";378089;72367;723;9050;45315;380;2768;13167;1238;5419;13505;4518;305658;64
"Caratinga - MG";85239;22178;141;3127;12972;123;988;4250;450;2343;5352;1703;63061;0
"Contagem - MG";603442;148954;1728;18937;102594;1083;5091;23138;1918;9621;23906;7647;452564;1924
"Coronel Fabriciano - MG";103694;24935;231;3738;15172;121;1095;4744;486;2432;5283;1720;78759;0
"Ibirité - MG";158954;35441;231;5387;23084;155;953;5725;317;2219;6199;2268;123502;11
"Montes Claros - MG";361915;69260;664;10113;39679;481;3060;12582;1202;6404;13736;4636;292646;9
"Ribeirão das Neves - MG";296317;68262;437;9713;44045;530;2694;10772;908;5306;11956;4272;228043;12
"Santa Luzia - MG";202942;39835;418;4877;25268;128;1476;6360;530;3125;7879;2542;163107;0
"Vespasiano - MG";104527;22729;376;2973;14727;166;729;3433;376;1444;3844;1492;81790;9
"Cachoeiro de Itapemirim - ES";189889;44514;555;6109;27654;199;1739;7593;864;4265;9894;2573;145325;50
"Cariacica - ES";348738;86432;976;12273;55471;671;2966;12976;1292;7035;17286;5613;262238;68
"Guarapari - ES";105286;24453;216;3089;15327;122;877;4005;323;1827;4952;1638;80801;32
"Linhares - ES";141306;30852;71;4218;19016;240;1126;5415;569;2683;5528;1748;110443;11
"São Mateus - ES";109028;21138;131;3153;11879;148;963;3687;306;2071;4387;1223;87890;0
"Serra - ES";409267;93906;879;12433;61256;513;3106;15470;1361;7257;16681;5284;315311;50
"Vila Velha - ES";414586;88409;783;9897;55443;465;3086;15215;1612;7153;16740;5010;326118;59
"Vitória - ES";327801;68619;745;7585;43436;501;2413;10977;1230;5511;12918;3625;259114;68
"Angra dos Reis - RJ";169511;41415;553;5550;27891;272;1315;6415;610;2955;7491;1729;127848;248
"Araruama - RJ";112008;27712;300;3596;17072;250;993;4649;606;2702;6491;1875;84268;28
"Belford Roxo - RJ";469332;117240;1838;14462;79049;783;3375;18104;1633;8290;25132;6589;351935;157
"Cabo Frio - RJ";186227;43824;408;5634;28746;294;1297;6924;862;3060;8206;2185;142315;88
"Campos dos Goytacazes - RJ";463731;108970;1409;15818;67393;999;3973;15757;2331;11446;24358;6522;354549;212
"Duque de Caxias - RJ";855048;220640;3333;28817;147608;1994;7020;33397;3350;17446;45434;10431;634171;237
"Macaé - RJ";206728;41560;537;5458;27609;306;1287;5915;831;2770;6573;1837;165149;19
"Magé - RJ";227322;61424;471;9224;39786;441;2144;9819;921;5998;12804;3472;165834;63
"Niterói - RJ";487562;106894;1448;12133;63682;956;4663;19053;2344;9856;23859;5905;380368;300
"Petrópolis - RJ";295917;60318;601;6245;37995;615;1938;9839;1092;5265;13710;3480;235558;42
"Rio de Janeiro - RJ";6320446;1560135;23594;174293;1028826;12958;51178;239569;27487;123813;335110;75314;4756390;3921
"São João de Meriti - RJ";458673;122081;1567;15441;83471;830;3709;17888;1703;9808;25110;5632;336369;223
